Name,Assignee,Created,Optional Due Date,Status,Tags,Team,Type
Game Ideas Pack 1,,"Dec 25, 2018 5:20 PM",,,PreProduction,,BrainStorm
Game Ideas Pack 2,,"Dec 25, 2018 5:20 PM",,,PreProduction,,BrainStorm
Game Idea Pack 3,,"Dec 25, 2018 5:20 PM",,,PreProduction,,BrainStorm
Game Idea Pack 4,,"Dec 25, 2018 5:28 PM",,,PreProduction,,Brainstorm
Game Ideas Pack 5,,"Dec 25, 2018 5:30 PM",,,PreProduction,,BrainStorm
1.Planet RocketBoost GDD,,"Dec 25, 2018 8:47 PM",,Discontinued/Shelved,PreProduction,,Project
2.BackFire,,"Dec 25, 2018 9:03 PM",,NotStarted,PreProduction,,Project
3.NightCycle,,"Dec 25, 2018 9:04 PM",,NotStarted,PreProduction,,Project
4.Kenzo's Destiny,,"Dec 25, 2018 9:05 PM",,Discontinued/Shelved,PreProduction,,Project
5.Evil Santa,,"Dec 25, 2018 9:06 PM",,NotStarted,PreProduction,,Project
Active Dimension,,"Dec 25, 2018 9:33 PM",,,,,StoryLine
Game A Week Challenge,,"Dec 25, 2018 9:45 PM",,,,,Challenges
Assets,,"Dec 25, 2018 10:05 PM",,,,,References
GameArt,,"Dec 25, 2018 10:07 PM",,,,,References
Features Ideas Pack 1,,"Dec 25, 2018 10:08 PM",,,,,BrainStorm
6.RunawayMonkeyFrenzy,,"Dec 25, 2018 10:13 PM",,Discontinued/Shelved,,,Project
"Night Cycle ",,"Dec 25, 2018 10:14 PM",,,,,StoryLine
A World No Bounds,,"Dec 25, 2018 10:21 PM",,,,,StoryLine
